Index,scene_encode,scene_size,object_encode,object_size,target_pos,condition_encode,lure,lure_size,lure_pos,ex_new,new_scene_size,jitter_ITI,thisN,thisTrialN,thisRepN,slider_example.response,slider_example.rt,key_ex_rate.keys,key_ex_rate.rt,key_ex_rate.duration,order_pairs,scene,condition_old,correct_key_old,correct_key_AFC,slider_cong.response,slider_cong.rt,key_rate.keys,key_rate.rt,key_rate.duration,exemplo_PAL.thisRepN,exemplo_PAL.thisTrialN,exemplo_PAL.thisN,exemplo_PAL.thisIndex,trial_encode.thisRepN,trial_encode.thisTrialN,trial_encode.thisN,trial_encode.thisIndex,thisRow.t,notes,Welcome.started,text_hi.started,key_welcome.started,Welcome.stopped,key_welcome.keys,key_welcome.rt,key_welcome.duration,Explanation_PAL.started,text_Explain_PAL.started,key_explain_PAL.started,Explanation_PAL.stopped,key_explain_PAL.keys,key_explain_PAL.rt,key_explain_PAL.duration,Explain_Rating.started,text_explain_rate.started,key_explain_rate.started,Explain_Rating.stopped,key_explain_rate.keys,key_explain_rate.rt,key_explain_rate.duration,blank.started,image_blank.started,cross_25.started,cross_25.stopped,image_blank.stopped,blank.stopped,Example_PAL.started,image_ex_scene.started,image_ex_object.started,key_ex_rate.started,slider_example.started,text_example.started,Example_PAL.stopped,exemplo_PAL.slider_example.response,exemplo_PAL.slider_example.rt,exemplo_PAL.key_ex_rate.keys,exemplo_PAL.key_ex_rate.rt,exemplo_PAL.key_ex_rate.duration,Start_PAL.started,text_end_ex.started,text_start_PAL.started,key_start_PAL.started,text_end_ex.stopped,Start_PAL.stopped,key_start_PAL.keys,key_start_PAL.rt,key_start_PAL.duration,Encode.started,image_scene_encode.started,image_object_encode.started,text_rating.started,slider_cong.started,key_rate.started,Encode.stopped,trial_encode.slider_cong.response,trial_encode.slider_cong.rt,trial_encode.key_rate.keys,trial_encode.key_rate.rt,trial_encode.key_rate.duration,Pause_1.started,text_pausa1.started,key_Start_Cog.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011793896002927795,0.02521023700319347,0.02521023700319347,2.499138168001082,space,2.3599032040001475,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,teste_1002_5,001,2026-02-10_20h23.01.939,Full_PT,2024.2.1,59.71156757300202,2026-02-10 20h23.20.374846 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.499188296002103,2.509788336999918,4.502309485000296,14.438060120002774,space,9.930827824999142,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,teste_1002_5,001,2026-02-10_20h23.01.939,Full_PT,2024.2.1,59.71156757300202,2026-02-10 20h23.20.374846 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.438115387001744,14.453956896002637,16.437364559002162,17.388216552000813,space,0.939884459003224,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,teste_1002_5,001,2026-02-10_20h23.01.939,Full_PT,2024.2.1,59.71156757300202,2026-02-10 20h23.20.374846 +0000,
2,Scenes_Dataset/museum_A.jpg,"(600, 337)",Objects_Dataset/picnic_towel.jpg,"(300, 300)","(250, 200)",incongruent,Objects_Dataset/fluorescent_bracelets.jpg,"(300, 300)","(250, -200)",Scenes_Dataset/boat_interior_A.jpg,"(600, 400)",2.5,0,0,0,None,None,z,5.037188458998571,None,,,,,,,,,,,0,0,0,1,,,,,17.405694544002472,,,,,,,,,,,,,,,,,,,,,,,17.39790874100072,17.405694544002472,19.64240159200199,19.915917001002526,19.915917001002526,19.888396201000432,19.902408345002186,19.915917001002526,19.915917001002526,19.915917001002526,22.407542767999985,22.407542767999985,24.972646947000612,None,None,z,5.037188458998571,None,,,,,,,,,,,,,,,,,,,,,,,,,teste_1002_5,001,2026-02-10_20h23.01.939,Full_PT,2024.2.1,59.71156757300202,2026-02-10 20h23.20.374846 +0000,
1,Scenes_Dataset/movie_theater_A.jpg,"(600, 364)",Objects_Dataset/movie_reels.jpg,"(350, 268)","(250, -200)",congruent,Objects_Dataset/3d_glasses.jpg,"(300, 300)","(250, 200)",Scenes_Dataset/building_entrance_A.jpg,"(600, 400)",2,1,1,0,None,None,c,2.889357870000822,None,,,,,,,,,,,0,1,1,0,,,,,24.979609784000786,,,,,,,,,,,,,,,,,,,,,,,24.973039450000215,24.979609784000786,27.222429944002215,27.47973819100298,26.988155752002058,27.456065941001725,27.47104759800277,27.47973819100298,27.47973819100298,27.47973819100298,29.958339176002482,29.958339176002482,30.387180322002678,None,None,c,2.889357870000822,None,,,,,,,,,,,,,,,,,,,,,,,,,teste_1002_5,001,2026-02-10_20h23.01.939,Full_PT,2024.2.1,59.71156757300202,2026-02-10 20h23.20.374846 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.387361306002276,30.395339218001027,31.889473956001893,31.889473956001893,31.906106999002077,45.69249638600013,space,13.799799465999968,None,,,,,,,,,,,,,,,,teste_1002_5,001,2026-02-10_20h23.01.939,Full_PT,2024.2.1,59.71156757300202,2026-02-10 20h23.20.374846 +0000,
,,"(600, 403)",Objects_Dataset/magic_cube.jpg,"(300, 300)","(300, -200)",Incongruent,Objects_Dataset/colander.jpg,"(191, 250)","(300, 200)",,,3.25,0,0,0,,,,,,26,Scenes_Dataset/church_A.jpg,old,left,down,None,None,z,2.1013178800021706,None,,,,,0,0,0,25,45.7506377910031,,,,,,,,,,,,,,,,,,,,,,,45.74300595300156,45.7506377910031,47.94194197900288,48.192079801003274,49.01626787100031,48.99242880300153,,,,,,,,,,,,,,,,,,,,,,49.0069357680004,49.01626787100031,49.01626787100031,51.507792249001795,51.507792249001795,51.507792249001795,53.61696496400327,None,None,z,2.1013178800021706,None,,,,teste_1002_5,001,2026-02-10_20h23.01.939,Full_PT,2024.2.1,59.71156757300202,2026-02-10 20h23.20.374846 +0000,
,,"(600, 461)",Objects_Dataset/pills.jpg,"(216, 250)","(300, -200)",Congruent,Objects_Dataset/thermometer.jpg,"(300, 199)","(300, 200)",,,3,1,1,0,,,,,,21,Scenes_Dataset/pharmacy_A.jpg,old,left,down,None,None,x,0.3473373439992429,None,,,,,0,1,1,20,53.62626854900009,,,,,,,,,,,,,,,,,,,,,,,53.61729101700257,53.62626854900009,55.87634669700128,56.12649590100045,56.63405701800002,56.61032611000337,,,,,,,,,,,,,,,,,,,,,,56.62542218700037,56.63405701800002,56.63405701800002,59.1097553590007,59.1097553590007,59.1097553590007,59.4609599860014,None,None,x,0.3473373439992429,None,,,,teste_1002_5,001,2026-02-10_20h23.01.939,Full_PT,2024.2.1,59.71156757300202,2026-02-10 20h23.20.374846 +0000,
,,"(600, 436)",Objects_Dataset/remote_control.jpg,"(300, 293)","(300, 200)",Congruent,Objects_Dataset/dvd_player.jpg,"(350, 144)","(300, -200)",,,2.1,2,2,0,,,,,,55,Scenes_Dataset/living_room_A.jpg,old,left,up,None,None,c,0.34672080499876756,None,,,,,0,2,2,54,59.47610865500246,,,,,,,,,,,,,,,,,,,,,,,59.46123162200092,59.47610865500246,61.71051427200291,61.966934907002724,61.5764015340028,61.94415738700263,,,,,,,,,,,,,,,,,,,,,,61.95829364600286,61.966934907002724,61.966934907002724,64.446385336003,64.446385336003,64.446385336003,64.81227089599997,None,None,c,0.34672080499876756,None,,,,teste_1002_5,001,2026-02-10_20h23.01.939,Full_PT,2024.2.1,59.71156757300202,2026-02-10 20h23.20.374846 +0000,
,,"(600, 447)",Objects_Dataset/crown.jpg,"(300, 249)","(300, -200)",Congruent,Objects_Dataset/throne.jpg,"(234, 350)","(300, 200)",,,2.15,3,3,0,,,,,,30,Scenes_Dataset/palace_interior_A.jpg,old,left,down,None,None,c,0.9714101120007399,None,,,,,0,3,3,29,64.81936258600035,,,,,,,,,,,,,,,,,,,,,,,64.81273160199999,64.81936258600035,67.06152986600137,67.31976910100275,66.97812793699995,67.2952238550024,,,,,,,,,,,,,,,,,,,,,,67.3109517060002,67.31976910100275,67.31976910100275,69.79767254300168,69.79767254300168,69.79767254300168,70.78056540700345,None,None,c,0.9714101120007399,None,,,,teste_1002_5,001,2026-02-10_20h23.01.939,Full_PT,2024.2.1,59.71156757300202,2026-02-10 20h23.20.374846 +0000,
,,"(600, 524)",Objects_Dataset/tin.jpg,"(233, 350)","(300, 200)",Incongruent,Objects_Dataset/lighter.jpg,"(300, 197)","(300, -200)",,,3.25,4,4,0,,,,,,52,Scenes_Dataset/childrens_room_A.jpg,old,left,up,None,None,c,0.07722012200247264,None,,,,,0,4,4,51,70.78751622900018,,,,,,,,,,,,,,,,,,,,,,,70.78093636800259,70.78751622900018,73.04563579500245,73.29562011000235,74.05960128600054,74.02933122000104,,,,,,,,,,,,,,,,,,,,,,74.05006789800245,74.05960128600054,74.05960128600054,76.53186311600075,76.53186311600075,76.53186311600075,76.62648576900028,None,None,c,0.07722012200247264,None,,,,teste_1002_5,001,2026-02-10_20h23.01.939,Full_PT,2024.2.1,59.71156757300202,2026-02-10 20h23.20.374846 +0000,
,,"(600, 450)",Objects_Dataset/elevator_buttons_panel.jpg,"(257, 300)","(300, -200)",Congruent,Objects_Dataset/surveillance_camera.jpg,"(300, 204)","(300, 200)",,,2.75,5,5,0,,,,,,16,Scenes_Dataset/elevator_A.jpg,old,left,down,None,None,x,0.038596704998781206,None,,,,,0,5,5,15,76.63336899300339,,,,,,,,,,,,,,,,,,,,,,,76.62681543600047,76.63336899300339,78.87977356300325,79.12977597600184,79.40325559100165,79.38013470200167,,,,,,,,,,,,,,,,,,,,,,79.39450146700256,79.40325559100165,79.40325559100165,81.88249935600106,81.88249935600106,81.88249935600106,81.93924622100167,None,None,x,0.038596704998781206,None,,,,teste_1002_5,001,2026-02-10_20h23.01.939,Full_PT,2024.2.1,59.71156757300202,2026-02-10 20h23.20.374846 +0000,
