Index,ex_scene_encode,ex_scene_size,ex_object_encode,ex_object_size,ex_target_pos,ex_condition_encode,ex_lure,ex_lure_size,ex_lure_pos,ex_new,ex_new_scene_size,jitter_ITI,thisN,thisTrialN,thisRepN,slider_example.response,slider_example.rt,key_ex_rate.keys,key_ex_rate.rt,key_ex_rate.duration,Scene,Scene_Size,Condition_Encode,Object_Encode,Object_Size,Condition_Old,Correct_Key_Old,Obj_Lure,Lure_size,Target_pos,Lure_pos,Correct_key_AFC,slider_cong.response,slider_cong.rt,key_rate.keys,key_rate.rt,key_rate.duration,ex_scene_old_new,scene_size,condition_encode,key_ex_old.keys,key_ex_old.rt,key_ex_old.duration,key_item.keys,key_item.corr,key_item.rt,key_item.duration,key_ex_2AFC.keys,key_ex_2AFC.rt,key_ex_2AFC.duration,key_2AFC.keys,key_2AFC.corr,key_2AFC.rt,key_2AFC.duration,exemplo_PAL.thisRepN,exemplo_PAL.thisTrialN,exemplo_PAL.thisN,exemplo_PAL.thisIndex,trial_encode.thisRepN,trial_encode.thisTrialN,trial_encode.thisN,trial_encode.thisIndex,trial_ex_old.thisRepN,trial_ex_old.thisTrialN,trial_ex_old.thisN,trial_ex_old.thisIndex,trial_item.thisRepN,trial_item.thisTrialN,trial_item.thisN,trial_item.thisIndex,trial_ex_2AFC.thisRepN,trial_ex_2AFC.thisTrialN,trial_ex_2AFC.thisN,trial_ex_2AFC.thisIndex,trial_asso.thisRepN,trial_asso.thisTrialN,trial_asso.thisN,trial_asso.thisIndex,thisRow.t,notes,Welcome.started,text_hi.started,key_welcome.started,Welcome.stopped,Explanation_PAL.started,text_Explain_PAL.started,key_explain_PAL.started,Explanation_PAL.stopped,Explain_Rating.started,text_explain_rate.started,key_explain_rate.started,Explain_Rating.stopped,blank.started,image_blank.started,cross_25.started,cross_25.stopped,image_blank.stopped,blank.stopped,Example_PAL.started,image_ex_scene.started,image_ex_object.started,slider_example.started,text_example.started,key_ex_rate.started,slider_example.stopped,text_example.stopped,key_ex_rate.stopped,Example_PAL.stopped,exemplo_PAL.slider_example.response,exemplo_PAL.slider_example.rt,exemplo_PAL.key_ex_rate.keys,exemplo_PAL.key_ex_rate.rt,exemplo_PAL.key_ex_rate.duration,Start_PAL.started,text_end_ex.started,text_start_PAL.started,key_start_PAL.started,text_end_ex.stopped,Start_PAL.stopped,key_start_PAL.keys,key_start_PAL.rt,key_start_PAL.duration,Encode.started,image_scene_encode.started,image_object_encode.started,text_rating.started,slider_cong.started,key_rate.started,text_rating.stopped,slider_cong.stopped,key_rate.stopped,Encode.stopped,trial_encode.slider_cong.response,trial_encode.slider_cong.rt,trial_encode.key_rate.keys,trial_encode.key_rate.rt,trial_encode.key_rate.duration,image_scene_encode.stopped,image_object_encode.stopped,Pause_1.started,text_pausa1.started,Pause_1.stopped,n_trials_total,n_go,n_nogo,hits,misses,correct_rejections,false_alarms,go_accuracy_percent,nogo_accuracy_percent,mean_rt_go_correct,Go_Nogo_task.started,Go_Nogo_task.stopped,Cog_Oral.started,text_endGo.started,text_endGo.stopped,text_call.started,key_end_cog.started,text_call.stopped,Cog_Oral.stopped,key_end_cog.keys,key_end_cog.rt,key_end_cog.duration,Retomar.started,text_retomar.started,key_resp.started,Retomar.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Explanation_Recall.started,text_explain_recall.started,key_continue.started,Explanation_Recall.stopped,Explain_Old_New.started,text_explain_old_new.started,key_explain_old.started,Explain_Old_New.stopped,key_explain_old.keys,key_explain_old.rt,key_explain_old.duration,Exemplo_old.started,image_exemplo_old_new.started,key_ex_old.started,text_ex_old.started,Exemplo_old.stopped,trial_ex_old.key_ex_old.keys,trial_ex_old.key_ex_old.rt,trial_ex_old.key_ex_old.duration,Start_Recall.started,text_start_recall.started,key_start_recall.started,Start_Recall.stopped,key_start_recall.keys,key_start_recall.rt,key_start_recall.duration,Old_New_Task.started,image_old_new.started,key_item.started,text_item.started,Old_New_Task.stopped,trial_item.key_item.keys,trial_item.key_item.corr,trial_item.key_item.rt,trial_item.key_item.duration,image_old_new.stopped,key_item.stopped,text_item.stopped,End_Old_New.started,text_end_item.started,key_resp_2.started,End_Old_New.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Explain_2AFC.started,text_explain_2afc.started,key_end_explain_2afc.started,Explain_2AFC.stopped,key_end_explain_2afc.keys,key_end_explain_2afc.rt,key_end_explain_2afc.duration,Exemplo_2AFC.started,image_ex_2AFC.started,image_ex_target.started,image_ex_lure.started,key_ex_2AFC.started,Exemplo_2AFC.stopped,trial_ex_2AFC.key_ex_2AFC.keys,trial_ex_2AFC.key_ex_2AFC.rt,trial_ex_2AFC.key_ex_2AFC.duration,trial_2AFC.started,image_scene_2AFC.started,key_2AFC.started,image_target.started,image_lure.started,trial_2AFC.stopped,trial_asso.key_2AFC.keys,trial_asso.key_2AFC.corr,trial_asso.key_2AFC.rt,trial_asso.key_2AFC.duration,image_scene_2AFC.stopped,key_2AFC.stopped,image_target.stopped,image_lure.stopped,end.started,text_end.started,text_end.stopped,end.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.049721699999281554,0.05197520000001532,0.05197520000001532,51.78490359999887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR2804,001,2026-04-28_12h23.38.692,SEED,2024.2.5,60.0629459672694,2026-04-28 12h27.11.358474 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.78492770000048,51.79943160000039,53.79958979999901,64.69978330000049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR2804,001,2026-04-28_12h23.38.692,SEED,2024.2.5,60.0629459672694,2026-04-28 12h27.11.358474 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.6998134000005,64.71624990000055,66.69995149999886,71.3001449000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR2804,001,2026-04-28_12h23.38.692,SEED,2024.2.5,60.0629459672694,2026-04-28 12h27.11.358474 +0100,
Ex2,Scenes_Dataset/painting_workshop_A.jpg,"(600, 450)",Objects_Dataset/fish_hook.png,"(130, 200)","(300, 200)",incongruent,Objects_Dataset/barrier.png,"(300, 300)","(300, -200)",Scenes_Dataset/athletics_track_A,"(600, 450)",2.5,0,0,0,None,None,num_1,1.7354531000000861,0.17590740000014193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,71.31657760000053,,,,,,,,,,,,,,71.30446200000006,71.31657760000053,73.54977680000047,73.79972909999924,73.81597080000029,73.79981709999993,73.81296040000052,73.81597080000029,73.81597080000029,76.30176329999995,76.30176329999995,76.30176329999995,78.79979339999954,78.79979339999954,78.79979339999954,78.8003761,None,None,num_1,1.7354531000000861,0.17590740000014193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR2804,001,2026-04-28_12h23.38.692,SEED,2024.2.5,60.0629459672694,2026-04-28 12h27.11.358474 +0100,
Ex3,Scenes_Dataset/cellars_A.jpg,"(600, 399)",Objects_Dataset/barrier.png,"(300, 300)","(300, -200)",incongruent,Objects_Dataset/hang_glider.png,"(450, 275)","(300, 200)",None,None,3,1,1,0,None,None,num_1,1.129369800000859,0.15995789999942644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,78.81641320000017,,,,,,,,,,,,,,78.80055859999993,78.81641320000017,81.04982410000048,81.29988690000027,81.82045379999909,81.80022629999985,81.81750509999983,81.82045379999909,81.82045379999909,84.29977750000035,84.29977750000035,84.29977750000035,86.80174009999973,86.80174009999973,86.80174009999973,86.80234550000023,None,None,num_1,1.129369800000859,0.15995789999942644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR2804,001,2026-04-28_12h23.38.692,SEED,2024.2.5,60.0629459672694,2026-04-28 12h27.11.358474 +0100,
Ex4,Scenes_Dataset/river_B.jpg,"(600, 450)",Objects_Dataset/drone.png,"(300, 144)","(300, 200)",congruent,Objects_Dataset/fish_hook.png,"(130, 200)","(300, -200)",None,None,2.5,2,2,0,None,None,num_2,0.6053941999998642,0.06389740000122401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,,,86.81647799999882,,,,,,,,,,,,,,86.80255539999962,86.81647799999882,89.04992800000036,89.29997319999893,89.32148280000001,89.30040089999966,89.31683630000043,89.32148280000001,89.32148280000001,91.79982100000052,91.79982100000052,91.79982100000052,94.29999169999974,94.29999169999974,94.29999169999974,94.3180013000001,None,None,num_2,0.6053941999998642,0.06389740000122401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR2804,001,2026-04-28_12h23.38.692,SEED,2024.2.5,60.0629459672694,2026-04-28 12h27.11.358474 +0100,
Ex1,Scenes_Dataset/sky_A.jpg,"(600, 398)",Objects_Dataset/hang_glider.png,"(450, 275)","(300, -200)",congruent,Objects_Dataset/drone.png,"(300, 144)","(300, 200)",Scenes_Dataset/temple_A.jpg,"(600, 358)",2,3,3,0,None,None,num_3,1.2337962000001426,0.16778840000006312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,94.33331159999943,,,,,,,,,,,,,,94.31826890000048,94.33331159999943,96.55021579999993,96.80480019999959,96.33345240000017,96.78397849999965,96.80174140000054,96.80480019999959,96.80480019999959,99.28358909999952,99.28358909999952,99.28358909999952,101.78362290000041,101.78362290000041,101.78362290000041,101.80118519999996,None,None,num_3,1.2337962000001426,0.16778840000006312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR2804,001,2026-04-28_12h23.38.692,SEED,2024.2.5,60.0629459672694,2026-04-28 12h27.11.358474 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.80135130000053,101.81676530000004,103.28357700000015,103.28357700000015,103.31683059999887,105.15077220000057,space,1.8657863999997062,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR2804,001,2026-04-28_12h23.38.692,SEED,2024.2.5,60.0629459672694,2026-04-28 12h27.11.358474 +0100,
18,,,,,,,,,,,,2.85,0,0,0,,,,,,Scenes_Dataset/soccer_stadium_B.jpg,"(600, 400)",Congruent,Objects_Dataset/football_boots.png,"(300, 300)",old,left,Objects_Dataset/whistle.png,"(200, 151)","(300, -200)","(300, 200)",down,None,None,num_3,1.2390034000000014,0.20796770000015385,,,,,,,,,,,,,,,,,,,,,,0,0,0,17,,,,,,,,,,,,,,,,,105.17741980000028,,,,,,,,,,,,,,105.175536499999,105.17741980000028,107.40013460000046,107.65024219999941,108.03784020000057,108.01754119999896,,,,,,,,,,,,,,,,,,,,,,,,,108.03537109999888,108.03784020000057,108.03784020000057,110.51819419999993,110.51819419999993,110.51819419999993,113.01727249999931,113.01727249999931,113.01727249999931,113.03472429999965,None,None,num_3,1.2390034000000014,0.20796770000015385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR2804,001,2026-04-28_12h23.38.692,SEED,2024.2.5,60.0629459672694,2026-04-28 12h27.11.358474 +0100,
24,,,,,,,,,,,,3.15,1,1,0,,,,,,Scenes_Dataset/marina_A.jpg,"(600, 450)",Congruent,Objects_Dataset/sailor_hat.png,"(300, 250)",old,left,Objects_Dataset/rope.png,"(300, 248)","(300, -200)","(300, 200)",down,None,None,num_3,1.4177263000001403,0.22372229999928095,,,,,,,,,,,,,,,,,,,,,,0,1,1,23,,,,,,,,,,,,,,,,,113.05030169999918,,,,,,,,,,,,,,113.0349972999993,113.05030169999918,115.26715689999946,115.51708990000043,116.20268279999982,116.1840145999995,,,,,,,,,,,,,,,,,,,,,,,,,116.19996580000043,116.20268279999982,116.20268279999982,118.68371079999997,118.68371079999997,118.68371079999997,121.1841800000002,121.1841800000002,121.1841800000002,121.18534809999983,None,None,num_3,1.4177263000001403,0.22372229999928095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR2804,001,2026-04-28_12h23.38.692,SEED,2024.2.5,60.0629459672694,2026-04-28 12h27.11.358474 +0100,
50,,,,,,,,,,,,3.15,2,2,0,,,,,,Scenes_Dataset/playground_A.jpg,"(600, 337)",Incongruent,Objects_Dataset/water_dispenser.png,"(300, 300)",old,left,Objects_Dataset/wine_cork.png,"(250, 163)","(300, 200)","(300, -200)",up,None,None,num_2,1.482997200000682,0.2160208999994211,,,,,,,,,,,,,,,,,,,,,,0,2,2,49,,,,,,,,,,,,,,,,,121.20073479999883,,,,,,,,,,,,,,121.18576989999929,121.20073479999883,123.43381229999977,123.68379319999985,124.3610021000004,124.33446899999944,,,,,,,,,,,,,,,,,,,,,,,,,124.35538710000037,124.3610021000004,124.3610021000004,126.83424500000001,126.83424500000001,126.83424500000001,129.3342964000003,129.3342964000003,129.3342964000003,129.3518810000005,None,None,num_2,1.482997200000682,0.2160208999994211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR2804,001,2026-04-28_12h23.38.692,SEED,2024.2.5,60.0629459672694,2026-04-28 12h27.11.358474 +0100,
59,,,,,,,,,,,,2.3,3,3,0,,,,,,Scenes_Dataset/golf_course_A.jpg,"(600, 400)",Incongruent,Objects_Dataset/clothesline_retouched_2.png,"(350, 231)",old,left,Objects_Dataset/computer_monitor.png,"(300, 300)","(300, 200)","(300, -200)",up,None,None,num_1,0.27131610000105866,0.19984309999927063,,,,,,,,,,,,,,,,,,,,,,0,3,3,58,,,,,,,,,,,,,,,,,129.36765319999904,,,,,,,,,,,,,,129.3521923999997,129.36765319999904,131.58503810000002,131.85883920000015,131.66739570000027,131.83464599999934,,,,,,,,,,,,,,,,,,,,,,,,,131.85522289999972,131.85883920000015,131.85883920000015,134.33403319999888,134.33403319999888,134.33403319999888,136.83396989999892,136.83396989999892,136.83396989999892,136.85178319999977,None,None,num_1,0.27131610000105866,0.19984309999927063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR2804,001,2026-04-28_12h23.38.692,SEED,2024.2.5,60.0629459672694,2026-04-28 12h27.11.358474 +0100,
52,,,,,,,,,,,,3.25,4,4,0,,,,,,Scenes_Dataset/parking_lot_A.jpg,"(600, 397)",Incongruent,Objects_Dataset/digital_piano_retouched.png,"(350, 350)",old,left,Objects_Dataset/toothbrush.png,"(300, 215)","(300, 200)","(300, -200)",up,None,None,num_1,0.7003427999989071,0.2398218000016641,,,,,,,,,,,,,,,,,,,,,,0,4,4,51,,,,,,,,,,,,,,,,,136.86720549999882,,,,,,,,,,,,,,136.85218209999948,136.86720549999882,139.0841218000005,139.33414429999902,140.12814849999995,140.10156180000013,,,,,,,,,,,,,,,,,,,,,,,,,140.1251233999992,140.12814849999995,140.12814849999995,142.6168706999997,142.6168706999997,142.6168706999997,145.11956509999982,145.11956509999982,145.11956509999982,145.12015489999976,None,None,num_1,0.7003427999989071,0.2398218000016641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR2804,001,2026-04-28_12h23.38.692,SEED,2024.2.5,60.0629459672694,2026-04-28 12h27.11.358474 +0100,
15,,,,,,,,,,,,2.7,5,5,0,,,,,,Scenes_Dataset/river_A.jpg,"(600, 450)",Congruent,Objects_Dataset/kayak.png,"(450, 338)",old,left,Objects_Dataset/paddle.png,"(300, 299)","(300, -200)","(300, 200)",down,None,None,num_3,0.9169637000013608,0.22387939999862283,,,,,,,,,,,,,,,,,,,,,,0,5,5,14,,,,,,,,,,,,,,,,,145.13351489999877,,,,,,,,,,,,,,145.12037129999953,145.13351489999877,147.36712099999932,147.61718649999966,147.84815510000044,147.8188353000005,,,,,,,,,,,,,,,,,,,,,,,,,147.84484789999988,147.84815510000044,147.84815510000044,150.33621920000041,150.33621920000041,150.33621920000041,152.8363059000003,152.8363059000003,152.8363059000003,152.83720220000032,None,None,num_3,0.9169637000013608,0.22387939999862283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR2804,001,2026-04-28_12h23.38.692,SEED,2024.2.5,60.0629459672694,2026-04-28 12h27.11.358474 +0100,
48,,,,,,,,,,,,3.05,6,6,0,,,,,,Scenes_Dataset/ballet_room_A.jpg,"(600, 398)",Incongruent,Objects_Dataset/hiking_boots.png,"(300, 300)",old,left,Objects_Dataset/bicycle_bell.png,"(250, 210)","(300, 200)","(300, -200)",up,None,None,num_1,1.0375392999994801,0.22389990000010584,,,,,,,,,,,,,,,,,,,,,,0,6,6,47,,,,,,,,,,,,,,,,,152.85049459999937,,,,,,,,,,,,,,152.83755779999956,152.85049459999937,155.08394339999904,155.33545760000015,155.90445629999886,155.88455280000017,,,,,,,,,,,,,,,,,,,,,,,,,155.90183640000032,155.90445629999886,155.90445629999886,158.3836309999988,158.3836309999988,158.3836309999988,160.88384039999983,160.88384039999983,160.88384039999983,160.90191550000054,None,None,num_1,1.0375392999994801,0.22389990000010584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR2804,001,2026-04-28_12h23.38.692,SEED,2024.2.5,60.0629459672694,2026-04-28 12h27.11.358474 +0100,
4,,,,,,,,,,,,2.15,7,7,0,,,,,,Scenes_Dataset/pastry_shop_A.jpg,"(600, 400)",Congruent,Objects_Dataset/cake_holder.png,"(300, 209)",old,left,Objects_Dataset/cake_tongs_retouched.png,"(300, 75)","(300, -200)","(300, 200)",down,None,None,num_3,1.0636938999996346,0.23201789999984612,,,,,,,,,,,,,,,,,,,,,,0,7,7,3,,,,,,,,,,,,,,,,,160.91749379999965,,,,,,,,,,,,,,160.90245080000022,160.91749379999965,163.13410519999888,163.38738319999902,163.0673702999993,163.36766809999972,,,,,,,,,,,,,,,,,,,,,,,,,163.38478439999926,163.38738319999902,163.38738319999902,165.869460599999,165.869460599999,165.869460599999,168.3673977999988,168.3673977999988,168.3673977999988,168.3853799999997,None,None,num_3,1.0636938999996346,0.23201789999984612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR2804,001,2026-04-28_12h23.38.692,SEED,2024.2.5,60.0629459672694,2026-04-28 12h27.11.358474 +0100,
34,,,,,,,,,,,,2.35,8,8,0,,,,,,Scenes_Dataset/flower_shop_A.jpg,"(600, 450)",Incongruent,Objects_Dataset/trumpet_retouched.png,"(300, 122)",old,left,Objects_Dataset/sailor_hat.png,"(300, 250)","(300, 200)","(300, -200)",up,None,None,num_1,0.8706478000003699,0.21589449999919452,,,,,,,,,,,,,,,,,,,,,,0,8,8,33,,,,,,,,,,,,,,,,,168.40077399999973,,,,,,,,,,,,,,168.38598590000038,168.40077399999973,170.6175476999997,170.8709715999994,170.75085059999947,170.8510783999991,,,,,,,,,,,,,,,,,,,,,,,,,170.86825599999975,170.8709715999994,170.8709715999994,173.35054219999984,173.35054219999984,173.35054219999984,175.85089999999946,175.85089999999946,175.85089999999946,175.8524082999993,None,None,num_1,0.8706478000003699,0.21589449999919452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR2804,001,2026-04-28_12h23.38.692,SEED,2024.2.5,60.0629459672694,2026-04-28 12h27.11.358474 +0100,
39,,,,,,,,,,,,2.6,9,9,0,,,,,,Scenes_Dataset/garage_A.jpg,"(600, 397)",Incongruent,Objects_Dataset/crown.png,"(300, 249)",old,left,Objects_Dataset/oxygen_mask_retouched.png,"(300, 300)","(300, 200)","(300, -200)",up,None,None,num_1,1.3264423000000534,0.22408750000067812,,,,,,,,,,,,,,,,,,,,,,0,9,9,38,,,,,,,,,,,,,,,,,175.86826409999958,,,,,,,,,,,,,,175.85290429999986,175.86826409999958,178.10104859999956,178.35094240000035,178.47542070000054,178.45141390000026,,,,,,,,,,,,,,,,,,,,,,,,,178.4727296000001,178.47542070000054,178.47542070000054,180.95071300000018,180.95071300000018,180.95071300000018,183.45081769999888,183.45081769999888,183.45081769999888,183.4686726,None,None,num_1,1.3264423000000534,0.22408750000067812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR2804,001,2026-04-28_12h23.38.692,SEED,2024.2.5,60.0629459672694,2026-04-28 12h27.11.358474 +0100,
28,,,,,,,,,,,,2.05,10,10,0,,,,,,Scenes_Dataset/public_toilet_A.jpg,"(600, 375)",Congruent,Objects_Dataset/hands_dryer.png,"(350, 267)",old,left,Objects_Dataset/paper_towel_dispenser.png,"(300, 400)","(300, -200)","(300, 200)",down,None,None,num_3,0.7071467000005214,0.271982799999023,,,,,,,,,,,,,,,,,,,,,,0,10,10,27,,,,,,,,,,,,,,,,,183.48512269999992,,,,,,,,,,,,,,183.46910790000038,183.48512269999992,185.70104410000022,185.95957119999912,185.53441949999979,185.9348990999988,,,,,,,,,,,,,,,,,,,,,,,,,185.95669429999907,185.95957119999912,185.95957119999912,188.43403240000043,188.43403240000043,188.43403240000043,190.93426770000042,190.93426770000042,190.93426770000042,190.95227479999994,None,None,num_3,0.7071467000005214,0.271982799999023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR2804,001,2026-04-28_12h23.38.692,SEED,2024.2.5,60.0629459672694,2026-04-28 12h27.11.358474 +0100,
54,,,,,,,,,,,,2.05,11,11,0,,,,,,Scenes_Dataset/campsite_A.jpg,"(600, 402)",Incongruent,Objects_Dataset/door_mat.png,"(300, 300)",old,left,Objects_Dataset/remote_control.png,"(300, 293)","(300, 200)","(300, -200)",up,None,None,num_2,1.0716470000006666,0.2320464999993419,,,,,,,,,,,,,,,,,,,,,,0,11,11,53,,,,,,,,,,,,,,,,,190.9677453000004,,,,,,,,,,,,,,190.95272429999932,190.9677453000004,193.18452969999998,193.44046049999997,193.017828,193.4182970999991,,,,,,,,,,,,,,,,,,,,,,,,,193.43748810000034,193.44046049999997,193.44046049999997,195.9175352000002,195.9175352000002,195.9175352000002,198.4185626999988,198.4185626999988,198.4185626999988,198.4192922000002,None,None,num_2,1.0716470000006666,0.2320464999993419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR2804,001,2026-04-28_12h23.38.692,SEED,2024.2.5,60.0629459672694,2026-04-28 12h27.11.358474 +0100,
30,,,,,,,,,,,,2.15,12,12,0,,,,,,Scenes_Dataset/locker_room_B.jpg,"(600, 399)",Congruent,Objects_Dataset/locker.png,"(264, 400)",old,left,Objects_Dataset/slippers.png,"(280, 300)","(300, -200)","(300, 200)",down,None,None,num_3,1.7934449000003951,0.25598490000083984,,,,,,,,,,,,,,,,,,,,,,0,12,12,29,,,,,,,,,,,,,,,,,198.4342985000003,,,,,,,,,,,,,,198.41953040000044,198.4342985000003,200.6678348000005,200.92700779999905,200.58447429999978,200.90173890000005,,,,,,,,,,,,,,,,,,,,,,,,,200.92391940000016,200.92700779999905,200.92700779999905,203.4037673999992,203.4037673999992,203.4037673999992,205.90110699999968,205.90110699999968,205.90110699999968,205.91918989999976,None,None,num_3,1.7934449000003951,0.25598490000083984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR2804,001,2026-04-28_12h23.38.692,SEED,2024.2.5,60.0629459672694,2026-04-28 12h27.11.358474 +0100,
